Drug Name,Chemical Compound,Usage,Dosage,Side Effects,Manufacturer,SMILES,MolWt,LogP,NumHAcceptors,NumHDonors,Side Effects Encoded
DengueDrug32,C131H231N41O36,Antiviral,106 mg/day,"Vision problems, heart issues",PharmaCompany1,CC(NCC(O)c1ccc(Nc2ncccc2)cc1)C,271.36400000000003,2.856600000000001,4.0,3.0,8
DengueDrug33,C132H232N42O37,Antiviral,82 mg/day,"Vision problems, heart issues",PharmaCompany2,c1c(Cl)ccc2c(cncc21)N1CCN(C)CC1,261.756,2.6400000000000015,3.0,0.0,8
DengueDrug34,C133H233N43O38,Antiviral,83 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany3,C1[C@H](O[C@H](N(C)C)[C@@H](O)[C@@H]1O[C@@H]1C[C@@H](c2c(c(c(c(O)c2)O)O)O)O[C@@H](C)[C@H]([C@@H]1O)CC)O,473.5190000000002,0.48709999999999926,11.0,7.0,1
DengueDrug35,C134H234N44O39,Antiviral,134 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany4,C(=O)(C)Oc1c(cccc1)C(O)=O,180.159,1.3101,3.0,1.0,4
DengueDrug36,C135H235N45O40,Antiviral,111 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany0,O[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H]([C@H](C)O[C@@H](C2)c2cc(c(O)c(c2O)O)O)CC)C[C@@H](O)O[C@@H]1N(C)C,473.51900000000023,0.4870999999999997,11.0,7.0,1
DengueDrug37,C136H236N46O41,Antiviral,184 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany1,C(C)(C)Cc1ccc(C(C(=O)O)C)cc1,206.28499999999997,3.0732000000000017,1.0,1.0,6
DengueDrug38,C137H237N47O42,Antiviral,92 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany2,C1(C(CSc2nnnn2CC(O)=O)C2=C(C(C(C(N2)=O)N)C)C(N1C)=O)=O,395.4010000000002,-2.188099999999996,10.0,3.0,2
DengueDrug39,C138H238N48O43,Antiviral,55 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany3,c1cccc(c1OC(=O)C)C(O)=O,180.159,1.3101000000000003,3.0,1.0,4
DengueDrug40,C139H239N49O44,Antiviral,116 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany4,C(c1ccc(cn1)Cl)(c1ccccc1)CCN(C)C,274.7950000000001,3.8186000000000027,2.0,0.0,7
DengueDrug41,C140H240N50O45,Antiviral,50 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany0,[Na+].c1c(c(C(C)C(=O)[O-])ccc1)C(c1ccccc1)C,276.31100000000004,-0.30419999999999847,2.0,0.0,7
DengueDrug42,C141H241N51O46,Antiviral,167 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany1,C(Nc1ccc(O)cc1)(=O)C,151.16499999999996,1.3505999999999998,2.0,2.0,4
DengueDrug43,C142H242N52O47,Antiviral,186 mg/day,"Photosensitivity, stomach upset",PharmaCompany2,C1(N2C3C(CN(C(=O)C3C)C(=C2O)c2ccccc2)=O)C(C(C(O)C(O)C1O)C)C,416.4740000000001,0.3393999999999992,7.0,4.0,5
DengueDrug44,C143H243N53O48,Antiviral,122 mg/day,"Vision problems, heart issues",PharmaCompany3,c1c(N2CCN(C)CC2)c2c(cn1)cc(Cl)cc2,261.75600000000003,2.6400000000000015,3.0,0.0,8
DengueDrug45,C144H244N54O49,Antiviral,141 mg/day,"Dizziness, fatigue, headache",PharmaCompany4,N(=C(SCCNC)N(C)C)c1cncn1C,241.364,0.9217999999999995,5.0,1.0,3
DengueDrug46,C145H245N55O50,Antiviral,52 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany0,C1=c2c(=CC(OC)=C(N1)OC)c(=O)[nH]c(n2)SCc1c(F)cccc1,361.3980000000001,0.784899999999999,6.0,2.0,0
DengueDrug47,C146H246N56O51,Antiviral,83 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany1,c1(c(O)c(O)c(c(c1)O)O)[C@@H]1C[C@H]([C@@H](O)[C@@H]([C@H](C)O1)CC)O[C@H]1[C@H](O)[C@H](O[C@H](O)C1)N(C)C,473.51900000000023,0.48709999999999887,11.0,7.0,1
DengueDrug48,C147H247N57O52,Antiviral,138 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany2,c1c(Cl)ccc(C(CCN(C)C)c2ccccc2)n1,274.79499999999996,3.8186000000000018,2.0,0.0,7
DengueDrug49,C148H248N58O53,Antiviral,57 mg/day,"Dizziness, fatigue, headache",PharmaCompany3,c1(N=C(N(C)C)SCCNC)n(cnc1)C,241.364,0.9217999999999995,5.0,1.0,3
DengueDrug50,C149H249N59O54,Antiviral,145 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany4,C(C(O)=O)n1nnnc1SCC1C(=O)N(C)C(=O)C2C(C)C(N)C(=O)NC1=2,395.4010000000001,-2.188099999999997,10.0,3.0,2
DengueDrug51,C150H250N60O55,Antiviral,57 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany0,S(Cc1c(F)cccc1)c1nc2c(c([nH]1)=O)=CC(=C(NC=2)OC)OC,361.39800000000014,0.7848999999999994,6.0,2.0,0
DengueDrug52,C151H251N61O56,Antiviral,174 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany1,COC1=C(NC=c2nc(SCc3c(cccc3)F)[nH]c(=O)c2=C1)OC,361.3980000000001,0.7848999999999997,6.0,2.0,0
DengueDrug53,C152H252N62O57,Antiviral,79 mg/day,"Photosensitivity, stomach upset",PharmaCompany2,C1(C)C(N2C3C(=O)CN(C(=C2O)c2ccccc2)C(C3C)=O)C(C(C(C1C)O)O)O,416.4740000000001,0.3394,7.0,4.0,5
DengueDrug54,C153H253N63O58,Antiviral,108 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany3,c1cc(CC(C)C)ccc1C(C(=O)O)C,206.28499999999997,3.073200000000001,1.0,1.0,6
DengueDrug55,C154H254N64O59,Antiviral,191 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany4,[nH]1c(=O)c2c(=CNC(OC)=C(OC)C=2)nc1SCc1ccccc1F,361.3980000000001,0.7848999999999999,6.0,2.0,0
DengueDrug56,C155H255N65O60,Antiviral,171 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany0,c1(ccc(C(C)C(=O)O)cc1)CC(C)C,206.285,3.0732000000000017,1.0,1.0,6
DengueDrug57,C156H256N66O61,Antiviral,116 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany1,N([C@@H]1[C@H]([C@H](O[C@H]2[C@@H](O)[C@H](CC)[C@H](C)O[C@H](c3c(O)c(c(O)c(c3)O)O)C2)C[C@@H](O)O1)O)(C)C,473.51900000000023,0.48709999999999953,11.0,7.0,1
DengueDrug58,C157H257N67O62,Antiviral,98 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany2,c1c(OC(C)=O)c(C(=O)O)ccc1,180.159,1.3101,3.0,1.0,4
DengueDrug59,C158H258N68O63,Antiviral,136 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany3,c1(O)ccc(cc1)NC(=O)C,151.165,1.3505999999999996,2.0,2.0,4
DengueDrug60,C159H259N69O64,Antiviral,186 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany4,C1(C)C2C(N(C)C(=O)C(C=2NC(C1N)=O)CSc1nnnn1CC(O)=O)=O,395.4010000000001,-2.188099999999997,10.0,3.0,2
DengueDrug61,C160H260N70O65,Antiviral,154 mg/day,"Vision problems, heart issues",PharmaCompany0,CC(C)NCC(O)c1ccc(cc1)Nc1ccccn1,271.36400000000003,2.856600000000001,4.0,3.0,8
DengueDrug62,C161H261N71O66,Antiviral,83 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany1,n1nc(n(CC(O)=O)n1)SCC1C(=O)N(C)C(C2C(C)C(N)C(=O)NC=21)=O,395.4010000000001,-2.188099999999996,10.0,3.0,2
DengueDrug63,C162H262N72O67,Antiviral,198 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany2,[Na+].c1ccc(c(c1)C(c1ccccc1)C)C(C)C(=O)[O-],276.31100000000004,-0.30419999999999936,2.0,0.0,7
DengueDrug64,C163H263N73O68,Antiviral,161 mg/day,"Dizziness, fatigue, headache",PharmaCompany3,Cn1cncc1N=C(SCCNC)N(C)C,241.36399999999998,0.9217999999999997,5.0,1.0,3
DengueDrug65,C164H264N74O69,Antiviral,72 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany4,c12=CNC(OC)=C(OC)C=c1c([nH]c(SCc1ccccc1F)n2)=O,361.398,0.7848999999999997,6.0,2.0,0
DengueDrug66,C165H265N75O70,Antiviral,130 mg/day,"Diarrhea, rash, injection site reaction",PharmaCompany0,C(=O)(Cn1c(nnn1)SCC1C(N(C(=O)C2C(C(C(NC1=2)=O)N)C)C)=O)O,395.4010000000001,-2.188099999999997,10.0,3.0,2
DengueDrug67,C166H266N76O71,Antiviral,145 mg/day,"Photosensitivity, stomach upset",PharmaCompany1,CC1C(C)C(C(O)C(C1O)O)N1C(=C(N2C(C(C1C(=O)C2)C)=O)c1ccccc1)O,416.47400000000016,0.3394000000000003,7.0,4.0,5
DengueDrug68,C167H267N77O72,Antiviral,51 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany2,[C@H]1(C[C@@H](O)O[C@@H]([C@H]1O)N(C)C)O[C@H]1[C@H]([C@H](CC)[C@@H](O[C@@H](C1)c1cc(c(O)c(c1O)O)O)C)O,473.51900000000023,0.4870999999999999,11.0,7.0,1
DengueDrug69,C168H268N78O73,Antiviral,198 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany3,c1(ccc(O)cc1)NC(C)=O,151.16499999999996,1.3505999999999998,2.0,2.0,4
DengueDrug70,C169H269N79O74,Antiviral,164 mg/day,"Vision problems, heart issues",PharmaCompany4,c1(Cl)cc2cncc(N3CCN(CC3)C)c2cc1,261.7559999999999,2.6400000000000006,3.0,0.0,8
DengueDrug71,C170H270N80O75,Antiviral,193 mg/day,"Vision problems, heart issues",PharmaCompany0,c1c(ccc(c1)C(CNC(C)C)O)Nc1ncccc1,271.36400000000003,2.8566000000000003,4.0,3.0,8
DengueDrug72,C171H271N81O76,Antiviral,184 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany1,O=C([O-])C(C)c1ccccc1C(C)c1ccccc1.[Na+],276.311,-0.30419999999999936,2.0,0.0,7
DengueDrug73,C172H272N82O77,Antiviral,83 mg/day,"Vision problems, heart issues",PharmaCompany2,CN1CCN(c2cncc3cc(ccc32)Cl)CC1,261.75600000000003,2.6400000000000006,3.0,0.0,8
DengueDrug74,C173H273N83O78,Antiviral,175 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany3,[C@@H]1([C@@H]([C@H](O[C@@H]2C[C@H](O[C@H](N(C)C)[C@H]2O)O)C[C@@H](c2cc(O)c(O)c(O)c2O)O[C@H]1C)O)CC,473.5190000000002,0.4870999999999998,11.0,7.0,1
DengueDrug75,C174H274N84O79,Antiviral,115 mg/day,"Dizziness, fatigue, headache",PharmaCompany4,n1(C)cncc1N=C(SCCNC)N(C)C,241.36399999999998,0.9217999999999997,5.0,1.0,3
DengueDrug76,C175H275N85O80,Antiviral,141 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany0,OC(C(c1ccc(CC(C)C)cc1)C)=O,206.28499999999997,3.0732000000000017,1.0,1.0,6
DengueDrug77,C176H276N86O81,Antiviral,51 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany1,c1cc(C(C(=O)O)C)ccc1CC(C)C,206.28499999999997,3.0732000000000017,1.0,1.0,6
DengueDrug78,C177H277N87O82,Antiviral,138 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany2,c1(c(cccc1)C(O)=O)OC(C)=O,180.159,1.3100999999999998,3.0,1.0,4
DengueDrug79,C178H278N88O83,Antiviral,175 mg/day,"Vision problems, heart issues",PharmaCompany3,C(NCC(O)c1ccc(Nc2ncccc2)cc1)(C)C,271.36400000000003,2.856600000000001,4.0,3.0,8
DengueDrug80,C179H279N89O84,Antiviral,146 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany4,C[C@@H]1O[C@@H](C[C@@H](O[C@@H]2C[C@@H](O)O[C@@H]([C@H]2O)N(C)C)[C@H]([C@@H]1CC)O)c1c(O)c(c(c(c1)O)O)O,473.51900000000023,0.4870999999999999,11.0,7.0,1
DengueDrug81,C180H280N90O85,Antiviral,190 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany0,c1c(ccc(C(C(O)=O)C)c1)CC(C)C,206.28499999999997,3.0732000000000017,1.0,1.0,6
DengueDrug82,C181H281N91O86,Antiviral,194 mg/day,"Vision problems, heart issues",PharmaCompany1,c1cc(cc2c1c(N1CCN(CC1)C)cnc2)Cl,261.756,2.6400000000000006,3.0,0.0,8
DengueDrug83,C182H282N92O87,Antiviral,81 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany2,c1c(ccc(c1)C(C(O)=O)C)CC(C)C,206.28499999999997,3.0732000000000017,1.0,1.0,6
DengueDrug84,C183H283N93O88,Antiviral,156 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany3,C(c1ccc(cc1)C(C)C(O)=O)C(C)C,206.28499999999997,3.073200000000001,1.0,1.0,6
DengueDrug85,C184H284N94O89,Antiviral,98 mg/day,"Vision problems, heart issues",PharmaCompany4,c12ccc(cc2cncc1N1CCN(C)CC1)Cl,261.756,2.6400000000000006,3.0,0.0,8
DengueDrug86,C185H285N95O90,Antiviral,126 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany0,O(C1NC=c2c(=CC=1OC)c(=O)[nH]c(n2)SCc1ccccc1F)C,361.3980000000001,0.7848999999999995,6.0,2.0,0
DengueDrug87,C186H286N96O91,Antiviral,53 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany1,c1ccc(F)c(CSc2nc3=CNC(=C(C=c3c(=O)[nH]2)OC)OC)c1,361.3980000000001,0.7848999999999998,6.0,2.0,0
DengueDrug88,C187H287N97O92,Antiviral,130 mg/day,"Dizziness, fatigue, headache",PharmaCompany2,CNCCSC(N(C)C)=Nc1n(cnc1)C,241.364,0.9217999999999995,5.0,1.0,3
DengueDrug89,C188H288N98O93,Antiviral,120 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany3,[Na+].c1(C(C)c2ccccc2)ccccc1C(C)C(=O)[O-],276.31100000000004,-0.30420000000000025,2.0,0.0,7
DengueDrug90,C189H289N99O94,Antiviral,159 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany4,c1c(c(ccc1)C(O)=O)OC(C)=O,180.15899999999996,1.3100999999999998,3.0,1.0,4
DengueDrug91,C190H290N100O95,Antiviral,103 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany0,[Na+].c1ccc(cc1)C(C)c1ccccc1C(C)C(=O)[O-],276.31100000000004,-0.30419999999999936,2.0,0.0,7
DengueDrug92,C191H291N101O96,Antiviral,173 mg/day,"Vision problems, heart issues",PharmaCompany1,n1ccccc1Nc1ccc(C(CNC(C)C)O)cc1,271.364,2.856600000000001,4.0,3.0,8
DengueDrug93,C192H292N102O97,Antiviral,77 mg/day,"Increased bleeding, stomach ulcers",PharmaCompany2,c1(ccc(NC(=O)C)cc1)O,151.165,1.3506,2.0,2.0,4
DengueDrug94,C193H293N103O98,Antiviral,79 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany3,CC(C([O-])=O)c1c(cccc1)C(c1ccccc1)C.[Na+],276.31100000000004,-0.30419999999999936,2.0,0.0,7
DengueDrug95,C194H294N104O99,Antiviral,140 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany4,C(c1ccccc1)(c1ccc(Cl)cn1)CCN(C)C,274.795,3.8186000000000027,2.0,0.0,7
DengueDrug96,C195H295N105O100,Antiviral,167 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany0,c1(cnc(C(CCN(C)C)c2ccccc2)cc1)Cl,274.7950000000001,3.8186000000000027,2.0,0.0,7
DengueDrug97,C196H296N106O101,Antiviral,71 mg/day,"Vision problems, heart issues",PharmaCompany1,c1c(cc2c(c1)c(N1CCN(C)CC1)cnc2)Cl,261.756,2.6400000000000006,3.0,0.0,8
DengueDrug98,C197H297N107O102,Antiviral,71 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany2,Oc1c(O)c([C@H]2O[C@@H](C)[C@@H](CC)[C@H](O)[C@@H](C2)O[C@H]2[C@H](O)[C@@H](N(C)C)O[C@H](O)C2)cc(O)c1O,473.5190000000002,0.4870999999999997,11.0,7.0,1
DengueDrug99,C198H298N108O103,Antiviral,181 mg/day,"Photosensitivity, stomach upset",PharmaCompany3,c1cc(C2N3C(=O)C(C)C(N(C4C(C(O)C(O)C(C4C)C)O)C=2O)C(=O)C3)ccc1,416.4740000000002,0.3393999999999994,7.0,4.0,5
DengueDrug100,C199H299N109O104,Antiviral,80 mg/day,"Vision problems, heart issues",PharmaCompany4,C(O)(CNC(C)C)c1ccc(cc1)Nc1ncccc1,271.36400000000003,2.856600000000001,4.0,3.0,8
DengueDrug101,C200H300N110O105,Antiviral,199 mg/day,"Vision problems, heart issues",PharmaCompany0,c1(cc2c(c(cnc2)N2CCN(CC2)C)cc1)Cl,261.756,2.6400000000000006,3.0,0.0,8
DengueDrug102,C201H301N111O106,Antiviral,131 mg/day,"Diarrhea, nausea, stomach pain",PharmaCompany1,Oc1c(cc(c(c1O)O)O)[C@@H]1C[C@@H](O[C@H]2[C@@H]([C@@H](N(C)C)O[C@H](O)C2)O)[C@H]([C@H](CC)[C@@H](O1)C)O,473.51900000000023,0.48709999999999926,11.0,7.0,1
DengueDrug103,C202H302N112O107,Antiviral,52 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany2,C(C(c1ccc(cn1)Cl)c1ccccc1)CN(C)C,274.795,3.8186000000000027,2.0,0.0,7
DengueDrug104,C203H303N113O108,Antiviral,92 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany3,[Na+].c1cccc(c1)C(c1ccccc1C(C(=O)[O-])C)C,276.31100000000004,-0.30419999999999936,2.0,0.0,7
DengueDrug105,C204H304N114O109,Antiviral,119 mg/day,"Diarrhea, nausea, dizziness",PharmaCompany4,c12c(=CC(OC)=C(OC)NC=2)c(=O)[nH]c(n1)SCc1ccccc1F,361.3980000000001,0.7849,6.0,2.0,0
DengueDrug106,C205H305N115O110,Antiviral,108 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany0,O=C(O)C(C)c1ccc(cc1)CC(C)C,206.285,3.0732000000000017,1.0,1.0,6
DengueDrug107,C206H306N116O111,Antiviral,106 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany1,C(CCN(C)C)(c1ccc(cn1)Cl)c1ccccc1,274.795,3.8186000000000027,2.0,0.0,7
DengueDrug108,C207H307N117O112,Antiviral,64 mg/day,"Stomach irritation, kidney damage, bleeding",PharmaCompany2,CC(C)Cc1ccc(cc1)C(C(=O)O)C,206.28499999999997,3.073200000000001,1.0,1.0,6
DengueDrug109,C208H308N118O113,Antiviral,156 mg/day,"Stomach pain, heartburn, dizziness",PharmaCompany3,C(CC(c1ccccc1)c1ncc(Cl)cc1)N(C)C,274.795,3.8186000000000027,2.0,0.0,7
