SMILES,Predicted Side Effects,Severity,Severity Score
c1cccc(c1F)CSc1nc2=CNC(OC)=C(OC)C=c2c(=O)[nH]1,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1317
Oc1cc(O)c2c(c1)oc(c(c2=O)O)-c1cc(c(c(c1)O)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1471
Oc1ccc(NC(C)=O)cc1,"diarrhea, nausea, dizziness, bloating, gas",Not Severe,0.1728
O=c1nc(ccn1[C@H]1[C@@H]([C@H](OC(=O)C(C)C)[C@@](COC(=O)C(C)C)(O1)N=[N+]=[N-])OC(C(C)C)=O)N,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.0843
c12c(c(O)cc(c2)O)c(=O)c(c(o1)-c1cc(c(O)c(O)c1)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.2158
c1(ccccc1)C=CC(=O)c1c(cc(cc1OC)O)O,"dizziness, headache, stomach irritation, kidney damage, bleeding",Not Severe,0.1169
COC1=C(NC=c2nc(SCc3c(cccc3)F)[nH]c(c2=C1)=O)OC,"diarrhea, dizziness, headache, nausea, headache and upset stomach",Not Severe,0.1029
c1(ccc(O)cc1)-c1oc2c(c(O)cc(O)c2)c(c1O)=O,"diarrhea, nausea, headache, dizziness, vomiting",Not Severe,0.2895
c12cc(O)cc(c2c(c(c(o1)-c1ccc(cc1)O)O)=O)O,"diarrhea, headache, dizziness, vomiting, nausea",Not Severe,0.1339
c1(cccc(c1)C(=O)N(CC)CC)C,"nausea, vomiting, constipation, itching, headache",Not Severe,0.2014
CN1CCN(CC1)c1c2ccc(cc2cnc1)Cl,"constipation, headache, fatigue, nausea, vomiting",Not Severe,0.2378
Oc1cc(O)c(c2oc(cc(c12)=O)-c1ccc(O)cc1)-c1c(O)cc2c(c1O)c(cc(o2)-c1ccc(cc1)O)=O,"headache, diarrhea, dizziness, nausea, vomiting",Not Severe,0.217
c1(O)ccc(cc1)-c1c(O)c(=O)c2c(cc(O)cc2o1)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1967
C1(=O)NC2C(CSc3n(CC(=O)O)nnn3)C(N(C(=O)C=2C(C)C1N)C)=O,"dizziness, diarrhea, headache, vomiting, nausea",Not Severe,0.0807
N(CC(c1ccc(Nc2ccccn2)cc1)O)C(C)C,"dizziness, skin irritation, redness, swelling, seizures",Not Severe,0.1798
n1ccccc1Nc1ccc(cc1)C(CNC(C)C)O,"headache, dizziness, fatigue, stomach irritation, kidney damage",Not Severe,0.1469
C(CN(C)C)C(c1ncc(Cl)cc1)c1ccccc1,"nausea, vomiting, itching, dizziness, headache",Not Severe,0.3009
O=C(Nc1ncccc1)C1=C(NC(=C(C(OCC)=O)[C@@H]1c1ccccc1Cl)c1ccc(-n2c(C)nc3c2ccnc3)cc1)C,"headache, skin rash, dizziness, vomiting, nausea",Not Severe,0.0996
O=C(C=Cc1ccccc1)c1c(cc(O)cc1OC)O,"dizziness, drowsiness, dry mouth, stomach irritation, kidney damage",Not Severe,0.1159
OC1C(O)C(OC(Oc2cc(c3c(c2)OC(c2ccc(O)cc2)CC3=O)O)C1OC1OC(C)C(O)C(O)C1O)CO,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.102
O[C@@H]1[C@@H]([C@@H](CO)O[C@H]1n1nc(nc1)C(N)=O)O,"dizziness, diarrhea, nausea, headache, vomiting",Not Severe,0.1321
O[C@H]1[C@H](O)[C@H]2[C@H](CCN2C[C@@H]1OC(=O)CCC)O,"diarrhea, nausea, dizziness, headache, vomiting",Not Severe,0.1105
c1(ccc(cc1)-c1c(c(c2c(O)cc(O)cc2o1)=O)O)O,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.163
n1c(Nc2ccc(C(CNC(C)C)O)cc2)cccc1,"flatulence, diarrhoea, skin irritation, redness, swelling",Not Severe,0.2144
CC(Cc1ccc(C(C(=O)O)C)cc1)C,"dizziness, skin irritation, redness, swelling, seizures",Not Severe,0.2103
c1c(O)cc2c(c1O)c(=O)c(c(-c1cc(c(cc1)O)O)o2)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1358
Nc1ccn(c(n1)=O)[C@@H]1O[C@](N=[N+]=[N-])(COC(=O)C(C)C)[C@H]([C@H]1OC(=O)C(C)C)OC(C(C)C)=O,"nausea, diarrhea, headache, vomiting, dizziness",Not Severe,0.1252
c1c(CC(C)C)ccc(c1)C(C(O)=O)C,"dizziness, skin irritation, redness, swelling, seizures",Not Severe,0.1472
c1(c(c2c(=O)cc(-c3ccccc3)oc2cc1O)O)O,"headache, dizziness, vomiting, nausea, diarrhea",Not Severe,0.1444
C(CCC[C@H]([C@H]1CC[C@H]2/C(=C/C=C3\C(CC[C@@H](C3)O)=C)CCC[C@@]21C)C)(C)C,"nausea, diarrhea, itching, stomach pain, vomiting",Not Severe,0.196
O=C(N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(=O)O)N=C(N)N)C,"diarrhea, dizziness, headache, nausea, stomach upset",Not Severe,0.0796
c1cc(O)ccc1-c1c(c2c(oc1)cc(O)cc2)=O,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.2541
C1C(CS[C@H](CCc2c(cccc2)C(O)(C)C)c2cccc(c2)/C=C/c2ccc3ccc(cc3n2)Cl)(C1)CC(O)=O,"headache, diarrhea, dizziness, heartburn, stomach pain",Not Severe,0.1694
C12=C(C(C(N(C)C2=O)=O)CSc2n(CC(O)=O)nnn2)NC(C(C1C)N)=O,"dizziness, diarrhea, nausea, headache and upset stomach, headache",Not Severe,0.0819
C(\C(Nc1ccc(cc1)O)=O)=C(/C=C/C=C(C)/C=C/C1C(C)(CCCC=1C)C)C,"headache, skin rash, diarrhea, dizziness, nausea",Not Severe,0.0754
C1(CC(O)=O)(CS[C@H](CCc2c(cccc2)C(C)(C)O)c2cccc(/C=C/c3nc4cc(ccc4cc3)Cl)c2)CC1,"headache, diarrhea, dizziness, heartburn, stomach pain",Not Severe,0.1342
[Na+].c1c(cccc1)C(c1ccccc1C(C(=O)[O-])C)C,"nausea, vomiting, diarrhea, headache, itching",Not Severe,0.1559
c1(cc2occ(c(=O)c2cc1)-c1ccc(cc1)O)O,"diarrhea, dizziness, headache, nausea, stomach irritation",Not Severe,0.1659
c12cc(ccc1c(=O)c(co2)-c1ccc(cc1)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1893
c1(cc(oc2c1c(c(c(c2)O)O)O)-c1ccccc1)=O,"headache, dizziness, vomiting, nausea, diarrhea",Not Severe,0.1458
n1nnn(CC(O)=O)c1SCC1C(=O)N(C(=O)C2C(C)C(N)C(NC1=2)=O)C,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.1107
O=C(c1c(O)cc(O)cc1OC)C=Cc1ccccc1,"dizziness, stomach irritation, kidney damage, bleeding, fatigue",Not Severe,0.1474
c1ccc(C2CC(=O)c3c(O2)cc(cc3O)OC)cc1,"nausea, diarrhea, stomach upset, headache, dizziness",Not Severe,0.1801
C1(=C2c3ccccc3CC(c3sccc32)=O)CCN(CC1)C,"headache, heartburn, stomach pain, diarrhea, dizziness",Not Severe,0.159
CC(c1c(cccc1)C(C)c1ccccc1)C([O-])=O.[Na+],"dizziness, stomach irritation, kidney damage, bleeding, stomach pain",Not Severe,0.1441
[Na+].c1ccc(C(C(=O)[O-])C)c(C(C)c2ccccc2)c1,"dizziness, stomach irritation, kidney damage, bleeding, stomach pain",Not Severe,0.1733
c1(ccc(CC(C)C)cc1)C(C(=O)O)C,"dizziness, headache, nausea, stomach irritation, kidney damage",Not Severe,0.1283
O(C(=O)C)c1ccccc1C(=O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1455
[C@H]1(OC(=C[C@@H]([C@H]1NC(=O)C)N=C(N)N)C(=O)O)[C@@H]([C@H](O)CO)O,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.0754
c1(oc2cc(cc(O)c2c(c1O)=O)O)-c1cc(c(O)c(O)c1)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.2291
C(=C/C(=C/C=C/C(=C/C(Nc1ccc(cc1)O)=O)C)C)\C1C(CCCC=1C)(C)C,"headache, dizziness, skin rash, vomiting, nausea",Not Severe,0.134
c12c(cncc1N1CCN(CC1)C)cc(cc2)Cl,"headache, dizziness, fatigue, stomach irritation, kidney damage",Not Severe,0.1576
Clc1ccc2c(cncc2N2CCN(CC2)C)c1,"constipation, headache, fatigue, skin irritation, redness",Not Severe,0.2227
c1(cc(cc(O)c1C(C=Cc1ccccc1)=O)O)OC,"dizziness, headache, vomiting, nausea, diarrhea",Not Severe,0.0903
[C@@H]1(OC(=O)CCC)[C@@H](O)[C@@H]([C@H]2[C@@H](O)CCN2C1)O,"dizziness, diarrhea, nausea, headache, vomiting",Not Severe,0.15
c1(C(=O)N)ncn(n1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"nausea, diarrhea, headache, dizziness, vomiting",Not Severe,0.1529
c1c(ccc(c1)Nc1ccccn1)C(CNC(C)C)O,"headache, nausea, vomiting, constipation, itching",Not Severe,0.2388
c12c(c(O)cc(c2)O)c(c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(c(O)c2)O)o1)=O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.1745
C1(=O)c2c(C(c3c(cccc3)C1)=C1CCN(CC1)C)ccs2,"nausea, vomiting, itching, headache, diarrhea",Not Severe,0.2087
[C@H]1(O)CCN2C[C@@H]([C@H]([C@@H]([C@@H]12)O)O)OC(=O)CCC,"diarrhea, nausea, dizziness, headache, vomiting",Not Severe,0.1079
c1cc(ccc1O)-c1coc2cc(O)ccc2c1=O,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.2271
C1(C(N2C(=C(N3CC(C2C(C)C3=O)=O)c2ccccc2)O)C(O)C(C(O)C1C)O)C,"dizziness, photosensitivity, stomach upset, cough, headaches",Not Severe,0.0784
c1(ccccc1OC(=O)C)C(O)=O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.098
c1cc(c(C(O)=O)cc1)OC(C)=O,"diarrhea, constipation, stomach upset, bloating, gas",Not Severe,0.1251
c1(c(c(cc2c1c(cc(o2)-c1ccccc1)=O)O)O)O,"dizziness, headache, stomach irritation, kidney damage, bleeding",Not Severe,0.1213
N(C(=O)C)c1ccc(O)cc1,"diarrhea, dizziness, headache, nausea, skin irritation",Not Severe,0.1854
C(/C=C1/C[C@H](CCC1=C)O)=C1/CCC[C@]2(C)[C@@H]([C@@H](CCCC(C)C)C)CC[C@H]21,"headache, diarrhea, nausea, vomiting, itching",Not Severe,0.1119
Cc1cccc(C(N(CC)CC)=O)c1,"dizziness, skin irritation, redness, swelling, seizures",Not Severe,0.16
C1(O)C(C(C)C(N2C3C(C(N(C(=C2O)c2ccccc2)CC3=O)=O)C)C(O)C1O)C,"dizziness, headache, diarrhea, photosensitivity, stomach upset",Not Severe,0.0712
c1ccc(cc1C(N(CC)CC)=O)C,"skin irritation, redness, swelling, seizures, tremors",Not Severe,0.1426
C(O)(C(c1ccc(CC(C)C)cc1)C)=O,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1311
c1cc(ccc1C1=C([C@H](c2ccccc2Cl)C(C(Nc2ccccn2)=O)=C(N1)C)C(OCC)=O)-n1c(nc2cnccc12)C,"dizziness, headache, skin rash, vomiting, nausea",Not Severe,0.1165
c1(ccc(-c2c(O)c(=O)c3c(o2)cc(O)cc3O)cc1)O,"dizziness, headache, nausea, diarrhea, vomiting",Not Severe,0.1366
N([C@H]1C=C(C(O)=O)O[C@@H]([C@H](O)[C@@H](CO)O)[C@@H]1NC(C)=O)=C(N)N,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.0851
OC1C(O)C(C(C(C1C)C)N1C(=C(c2ccccc2)N2C(C(C1C(=O)C2)C)=O)O)O,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.0973
O(C[C@]1(O[C@H]([C@H](OC(C(C)C)=O)[C@@H]1OC(C(C)C)=O)n1c(nc(N)cc1)=O)N=[N+]=[N-])C(=O)C(C)C,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.0989
c12cc(Cl)ccc1c(N1CCN(C)CC1)cnc2,"fatigue, headache, constipation, skin irritation, redness",Not Severe,0.2101
S(Cc1c(F)cccc1)c1[nH]c(c2c(n1)=CNC(OC)=C(C=2)OC)=O,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.1474
C12C(CN(C(=O)C2C)C(c2ccccc2)=C(O)N1C1C(C(O)C(O)C(C1C)C)O)=O,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.0701
c1(O)c2c(oc(-c3ccccc3)cc2=O)cc(O)c1O,"headache, dizziness, nausea, diarrhea, vomiting",Not Severe,0.2141
O1[C@@H]([C@@H](O)[C@H](O[C@@H]2C[C@H](O[C@H]([C@@H](CC)[C@@H]2O)C)c2c(O)c(c(O)c(O)c2)O)C[C@H]1O)N(C)C,"nausea, diarrhea, vomiting, itching, dizziness",Not Severe,0.1407
C(C(C)C)c1ccc(C(C(O)=O)C)cc1,"dizziness, headache, diarrhea, skin irritation, redness",Not Severe,0.1751
c12c(c(=O)c(c(-c3cc(O)c(O)cc3)o1)O)c(cc(c2)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1737
C(=C/c1cc([C@@H](CCc2c(C(C)(C)O)cccc2)SCC2(CC2)CC(O)=O)ccc1)\c1nc2cc(Cl)ccc2cc1,"dizziness, headache, heartburn, stomach pain, tiredness",Not Severe,0.2123
O1c2c(c(O)cc(c2)OC2C(OC3C(O)C(C(O)C(C)O3)O)C(O)C(O)C(O2)CO)C(=O)CC1c1ccc(O)cc1,"dizziness, headache, diarrhea, cough, headaches",Not Severe,0.1258
OC(=O)c1ccccc1OC(C)=O,"diarrhea, bloating, gas, belly pain, constipation",Not Severe,0.1521
c12c(c(cc(O)c1)O)c(c(c(o2)-c1cc(c(O)cc1)O)O)=O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1286
N=C(N(C)C)NC(N)=N,"dizziness, bloating, gas, diarrhea, belly pain",Not Severe,0.0825
C(CC(Nc1ccnc2c1ccc(c2)Cl)C)CN(CC)CC,"constipation, nausea, vomiting, loss of appetite, increased thirst",Not Severe,0.2184
[C@H]1(NC(=O)C)[C@@H](OC(C(=O)O)=C[C@@H]1N=C(N)N)[C@@H]([C@@H](CO)O)O,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.0804
c1c(C(=O)N(CC)CC)cc(cc1)C,"nausea, skin irritation, redness, swelling, seizures",Not Severe,0.1586
c1c2CC(=O)c3c(ccs3)C(c2ccc1)=C1CCN(CC1)C,"constipation, headache, nausea, vomiting, itching",Not Severe,0.2121
c1(C=CC(=O)c2c(cc(cc2O)O)OC)ccccc1,"dizziness, headache, nausea, skin irritation, redness",Not Severe,0.1136
c1cc(Cl)cc2nc(ccc12)/C=C/c1cccc(c1)[C@@H](CCc1c(cccc1)C(O)(C)C)SCC1(CC(O)=O)CC1,"nausea, vomiting, headache, diarrhea, itching",Not Severe,0.2277
OC1C(CO)OC(C(C1O)OC1OC(C(C(C1O)O)O)C)Oc1cc2OC(c3ccc(O)cc3)CC(c2c(O)c1)=O,"dizziness, diarrhea, headache, vomiting, nausea",Not Severe,0.0935
c1/c(=N/O)[nH]c(=O)n(c1)[C@@H]1O[C@@H]([C@@H](O)[C@H]1O)COC(C(C)C)=O,"diarrhea, headache, nausea, dizziness, vomiting",Not Severe,0.1431
N1C2C(CSc3nnnn3CC(O)=O)C(=O)N(C(C=2C(C)C(N)C1=O)=O)C,"dizziness, photosensitivity, stomach upset, cough, headaches",Not Severe,0.0728
n1c2c(ccc(Cl)c2)ccc1/C=C/c1cccc(c1)[C@@H](CCc1c(C(C)(C)O)cccc1)SCC1(CC(=O)O)CC1,"nausea, vomiting, headache, diarrhea, itching",Not Severe,0.2784
[Na+].c1(C(C)c2c(C(C)C([O-])=O)cccc2)ccccc1,"headache, dizziness, vomiting, nausea, diarrhea",Not Severe,0.1306
c1c(c(c(cc1O)O)C(C=Cc1ccccc1)=O)OC,"dizziness, stomach irritation, kidney damage, bleeding, drowsiness",Not Severe,0.1296
c1c(C(CCN(C)C)c2ccc(Cl)cn2)cccc1,"skin irritation, redness, swelling, seizures, tremors",Not Severe,0.2363
C(=CC(=O)c1c(cc(O)cc1OC)O)c1ccccc1,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1641
C(=N)(N(C)C)NC(N)=N,"bloating, gas, diarrhea, belly pain, constipation",Not Severe,0.0979
N(C)(C(NC(N)=N)=N)C,"dizziness, diarrhea, headache, nausea, bloating",Not Severe,0.1118
c1(ccccc1)C(CCN(C)C)c1ncc(Cl)cc1,"dizziness, headache, nausea, vomiting, itching",Not Severe,0.185
c1(Cl)cnc(C(c2ccccc2)CCN(C)C)cc1,"dizziness, headache, nausea, vomiting, itching",Not Severe,0.1777
c1c(C(c2ccccc2)CCN(C)C)ncc(c1)Cl,"dizziness, nausea, vomiting, constipation, loss of appetite",Not Severe,0.2067
n1cn([C@@H]2O[C@H](CO)[C@H]([C@H]2O)O)nc1C(N)=O,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.1275
c1(ccc(cc1)C(CNC(C)C)O)Nc1ncccc1,"headache, dizziness, fatigue, stomach irritation, kidney damage",Not Severe,0.1808
C1c2ccccc2C(c2ccsc2C1=O)=C1CCN(CC1)C,"dizziness, constipation, headache, itching, nausea",Not Severe,0.164
C(N(CC)CC)CCC(Nc1c2ccc(Cl)cc2ncc1)C,"nausea, vomiting, itching, dizziness, headache",Not Severe,0.1858
c1(-c2ccc(O)c(c2)O)c(c(c2c(o1)cc(cc2O)O)=O)OC1OC(C(O)C(C1O)O)CO,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1343
c1(O)ccc(NC(=O)C)cc1,"diarrhea, dizziness, headache, nausea, skin irritation",Not Severe,0.1563
C(N(CC)C(c1cccc(C)c1)=O)C,"dizziness, headache, skin irritation, redness, swelling",Not Severe,0.1621
O=c1c2c(c(-c3c4c(c(=O)cc(o4)-c4ccc(cc4)O)c(O)cc3O)c(O)cc2oc(c1)-c1ccc(O)cc1)O,"nausea, vomiting, rash, headache, dizziness",Not Severe,0.3272
Oc1c(c2c(cc(cc2oc1-c1ccc(cc1)O)O)O)=O,"upset stomach, diarrhea, constipation, gas, increased bleeding",Not Severe,0.1326
[C@H]1([C@H](C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO)N=C(N)N)NC(C)=O,"dizziness, diarrhea, nausea, headache, cough",Not Severe,0.0891
c1c(O)cc(O)c2c1oc(-c1cc(O)c(c(O)c1)O)c(O)c2=O,"headache, dizziness, nausea, diarrhea, vomiting",Not Severe,0.1959
c12oc(-c3ccccc3)cc(=O)c1c(c(O)c(O)c2)O,"nausea, diarrhea, headache, dizziness, flatulence",Not Severe,0.2427
O=C(C(C)c1c(C(c2ccccc2)C)cccc1)[O-].[Na+],"dizziness, stomach pain, heartburn, stomach irritation, kidney damage",Not Severe,0.1263
Oc1c(ccc(c1)-c1oc2cc(cc(O)c2c(=O)c1O)O)O,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.1869
OC(=O)CC1(CC1)CS[C@@H](c1cc(/C=C/c2nc3cc(ccc3cc2)Cl)ccc1)CCc1c(cccc1)C(C)(O)C,"diarrhea, nausea, headache, vomiting, stomach pain",Not Severe,0.2111
c1c(-n2c(C)nc3cnccc32)ccc(c1)C1NC(=C(C(=O)Nc2ncccc2)[C@@H](c2c(cccc2)Cl)C=1C(OCC)=O)C,"nausea, diarrhea, headache, vomiting, dizziness",Not Severe,0.1682
C(SC(=Nc1n(C)cnc1)N(C)C)CNC,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1194
c1(ccc(cc1)O)C1Oc2c(C(=O)C1)c(cc(c2)OC1C(OC2C(O)C(C(O)C(C)O2)O)C(O)C(O)C(CO)O1)O,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.117
C(C)(CCCN(CC)CC)Nc1ccnc2cc(Cl)ccc21,"constipation, nausea, vomiting, loss of appetite, increased thirst",Not Severe,0.2367
c1ncc(n1C)N=C(SCCNC)N(C)C,"fatigue, headache, constipation, dizziness, liver damage (overuse)",Not Severe,0.0976
c1(cc(cc2c1c(=O)c(c(o2)-c1ccc(cc1)O)O)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1325
O/N=c1/ccn([C@H]2[C@@H]([C@@H]([C@@H](COC(C(C)C)=O)O2)O)O)c([nH]1)=O,"headache, diarrhea, nausea, dizziness, vomiting",Not Severe,0.1076
O1C(C(C(C(C1C)O)O)O)OC1C(C(O)C(CO)OC1Oc1cc(c2C(CC(c3ccc(cc3)O)Oc2c1)=O)O)O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.0846
c1(c(c(c2c(=O)cc(-c3ccccc3)oc2c1)O)O)O,"headache, dizziness, vomiting, nausea, diarrhea",Not Severe,0.1401
C(N(CC)CC)CCC(C)Nc1c2c(ncc1)cc(cc2)Cl,"nausea, vomiting, itching, dizziness, constipation",Not Severe,0.2117
c1ncn(C)c1N=C(N(C)C)SCCNC,"fatigue, headache, dizziness, stomach irritation, kidney damage",Not Severe,0.1333
C1N(CCN(c2c3c(cnc2)cc(Cl)cc3)C1)C,"headache, fatigue, dizziness, constipation, drowsiness",Not Severe,0.2058
c1c(c(c(OC)cc1O)C(C=Cc1ccccc1)=O)O,"dizziness, headache, stomach irritation, kidney damage, bleeding",Not Severe,0.107
c1ncc2c(c1N1CCN(CC1)C)ccc(Cl)c2,"constipation, headache, fatigue, skin irritation, redness",Not Severe,0.2399
Oc1ccc(cc1)-c1cc(c2c(cc(c(-c3c(O)c4c(cc(oc4cc3O)-c3ccc(O)cc3)=O)c2o1)O)O)=O,"dizziness, diarrhea, headache, nausea, cough",Not Severe,0.2487
C(Oc1ccccc1C(O)=O)(=O)C,"diarrhea, dizziness, headache, nausea, bloating",Not Severe,0.1244
c1(ccc(cc1)-c1c(O)c(=O)c2c(cc(O)cc2O)o1)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1805
